name,birthplace,dob,university_name
Harrison Schmitt,"Santa Rita, NM",1935-07-03,Caltech
Tom Stafford,"Weatherford, OK",1930-09-17,US Naval Academy
Walter Cunningham,"Creston, IA",1933-03-16,University of California - Los Angeles
Ken Mattingly,"Chicago, IL",1936-03-17,Auburn University
Gus Grissom,"Mitchell, IN",1926-04-03,Purdue University
Michael Collins,"Rome, Italy",1930-10-31,US Military Academy
Frank Borman,"Gary, IN",1928-03-14,US Military Academy
James Irwin,"Colorado Springs, CO",1930-03-17,US Naval Academy
John Glenn,"Cambridge, OH",1921-07-18,Muskingum College
Buzz Aldrin,"Montclair, NJ",1930-01-20,US Military Academy
John Young,"San Francisco, CA",1930-09-24,Georgia Institute of Technology
Fred Haise,"Biloxi, MS",1933-11-14,University of Oklahoma
Edgar Mitchell,"Hereford, TX",1930-09-17,MIT
Bill Anders,Hong Kong,1933-10-17,US Naval Academy
Gordon Cooper,"Shawnee, OK",1927-03-06,Air Force Institute of Technology
Dave Scott,"San Antonio, TX",1932-06-06,US Military Academy
Alfred Worden,"Jackson, MI",1932-02-07,US Military Academy
Deke Slayton,"Sparta, WI",1924-03-01,University of Minnesota
Alan Shepard,"East Derry, NH",1923-11-18,US Naval Academy
Wally Schirra,"Hackensack, NJ",1923-03-12,US Naval Academy
Don Eisele,"Columbus, OH",1930-06-23,US Naval Academy
Ed White,"San Antonio, TX",1930-11-14,US Military Academy
Jack Swigert,"Denver, CO",1931-08-30,University of Colorado
Pete Conrad,"Philadelphia, PA",1930-05-02,Princeton University
Russ Schweickart,"Neptune, NJ",1935-10-25,MIT
Roger Chaffee,"Grand Rapids, MI",1935-02-15,Purdue University
Jim Lovell,"Cleveland, OH",1928-03-25,US Naval Academy
Alan Bean,"Wheeler, TX",1932-03-15,University of Texas - Austin
Richard Gordon,"Seattle, WA",1929-10-05,University of Washington
Scott Carpenter,"Boulder, CO",1925-05-01,University of Colorado
Charles Duke,"Charlotte, NC",1935-10-03,US Naval Academy
Gene Cernan,"Chicago, IL",1934-03-14,Purdue University
Stuart Roosa,"Durango, CO",1933-08-16,University of Colorado - Boulder
Ronald Evans,"St. Francis, KS",1933-11-10,University of Kansas
Jim McDivitt,"Chicago, IL",1929-06-10,University of Michigan
Neil Armstrong,"Wapakoneta, OH",1930-08-05,Purdue University
Vance Brand,"Longmount, CO",1931-05-09,University of Colorado
Joseph Kerwin,"Oak Park, IL",1932-02-19,College of the Holy Cross
Paul Weitz,"Erie, PA",1933-07-25,Pennsylvania State University
