mission_name,astronaut_name,birthplace,dob,mission_end_date,mission_start_date,nasa_group_id,nasa_group_year,university_name,ship_name
Apollo 11,Buzz Aldrin,"Montclair, NJ",1930-01-20,1969-07-24 21:50:35.000+0000,1969-07-16 18:32:00.000+0000,3,1963,US Military Academy,Columbia
Apollo 11,Michael Collins,"Rome, Italy",1930-10-31,1969-07-24 21:50:35.000+0000,1969-07-16 18:32:00.000+0000,3,1963,US Military Academy,Columbia
Apollo 11,Neil Armstrong,"Wapakoneta, OH",1930-08-05,1969-07-24 21:50:35.000+0000,1969-07-16 18:32:00.000+0000,2,1962,Purdue University,Columbia
Apollo 15,Alfred Worden,"Jackson, MI",1932-02-07,1971-08-08 01:45:53.000+0000,1971-07-26 18:34:00.000+0000,,,US Military Academy,Endeavor
Apollo 15,Dave Scott,"San Antonio, TX",1932-06-06,1971-08-08 01:45:53.000+0000,1971-07-26 18:34:00.000+0000,3,1963,US Military Academy,Endeavor
Apollo 15,James Irwin,"Colorado Springs, CO",1930-03-17,1971-08-08 01:45:53.000+0000,1971-07-26 18:34:00.000+0000,,,US Naval Academy,Endeavor
Gemini 4,Ed White,"San Antonio, TX",1930-11-14,1965-06-07 22:12:11.000+0000,1965-06-03 20:15:59.000+0000,2,1962,US Military Academy,Gemini 4
Gemini 4,Jim McDivitt,"Chicago, IL",1929-06-10,1965-06-07 22:12:11.000+0000,1965-06-03 20:15:59.000+0000,2,1962,University of Michigan,Gemini 4
Apollo 14,Alan Shepard,"Derry, NH",1923-11-18,1971-01-31 21:05:00.000+0000,1971-01-31 21:03:02.000+0000,,,US Naval Academy,Kitty Hawk
Apollo 14,Edgar Mitchell,"Hereford, TX",1930-09-17,1971-01-31 21:05:00.000+0000,1971-01-31 21:03:02.000+0000,,,MIT,Kitty Hawk
Apollo 14,Stuart Roosa,"Durango, CO",1933-08-16,1971-01-31 21:05:00.000+0000,1971-01-31 21:03:02.000+0000,,,University of Colorado - Boulder,Kitty Hawk
Gemini 5,Gordon Cooper,"Shawnee, OK",1927-03-06,1965-08-29 17:55:13.000+0000,1965-08-21 18:59:59.000+0000,1,1959,Air Force Institute of Technology,Gemini 5
Gemini 5,Pete Conrad,"Philadelphia, PA",1930-05-02,1965-08-29 17:55:13.000+0000,1965-08-21 18:59:59.000+0000,2,1962,Princeton University,Gemini 5
Apollo 13,Fred Haise,"Biloxi, MS",1933-11-14,1970-04-18 00:07:41.000+0000,1970-04-12 01:13:00.000+0000,3,1963,University of Oklahoma,Odyssey
Apollo 13,Jack Swigert,"Denver, CO",1931-08-30,1970-04-18 00:07:41.000+0000,1970-04-12 01:13:00.000+0000,3,1963,University of Colorado,Odyssey
Apollo 13,Jim Lovell,"Cleveland, OH",1928-03-25,1970-04-18 00:07:41.000+0000,1970-04-12 01:13:00.000+0000,2,1962,US Naval Academy,Odyssey
